Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,2,0.253646164
83,-0.06239376,2,0.253646164
84,-0.05739426,8,1.014584654
85,-0.05239476,35,4.438807863
86,-0.04739526,93,11.79454661
87,-0.04239576,222,28.15472416
88,-0.03739626,509,64.55294864
89,-0.03239676,1067,135.3202283
90,-0.02739726,2123,269.2454027
91,-0.02239776,3555,450.8560558
92,-0.01739826,5197,659.0995561
93,-0.01239876,7081,898.0342422
94,-0.00739926,8619,1093.088142
95,-0.00239976,9692,1229.169309
96,0.00259974,9624,1220.545339
97,0.00759924,8501,1078.123018
98,0.01259874,7035,892.2003805
99,0.01759824,5144,652.3779328
100,0.02259774,3365,426.7596703
101,0.02759724,1992,252.6315789
102,0.03259674,1102,139.7590361
103,0.03759624,549,69.62587191
104,0.04259574,227,28.78883957
105,0.04759524,92,11.66772353
106,0.05259474,44,5.580215599
107,0.05759424,10,1.268230818
108,0.06259374,5,0.634115409
109,0.06759324,1,0.126823082
110,0.07259274,0,0
111,0.07759224,0,0
112,0.08259174,20.91713866,2.652775988
113,0.08759124,24.07500976,3.053266933
114,0.09259074,28.41574023,3.603771748
115,0.09759024,14.03823299,1.78037197
116,0.10258974,24.85234705,3.151851243
117,0.10758924,13.71225242,1.739030111
118,0.11258874,13.18830641,1.672581662
119,0.11758824,13.78130117,1.747787086
120,0.12258774,8.079494678,1.024666415
121,0.12758724,15.53912361,1.970719545
122,0.13258674,10.2071398,1.294500926
123,0.13758624,11.18204754,1.41814173
124,0.14258574,15.23489661,1.932136539
125,0.14758524,12.37437745,1.569356683
126,0.15258474,4.639426464,0.588386362
127,0.15758424,6.54899115,0.83056324
128,0.16258374,9.738375289,1.235050766
129,0.16758324,22.51059585,2.854863138
130,0.17258274,21.44633661,2.719890502
131,0.17758224,15.74040035,1.996246081
132,0.18258174,12.88422929,1.634017665
133,0.18758124,6.855809934,0.869474944
134,0.19258074,10.42415283,1.322023188
135,0.19758024,16.40771973,2.080877582
136,0.20257974,20.77417939,2.634645452
137,0.20757924,10.23516651,1.29805536
138,0.21257874,11.23592232,1.424974296
139,0.21757824,24.24740862,3.075131087
140,0.22257774,23.77690305,3.01546012
141,0.22757724,39.12610759,4.962093544
142,0.23257674,37.0917891,4.704095003
143,0.23757624,54.51305689,6.913513873
144,0.24257574,57.80061517,7.330452145
145,0.24757524,76.93506965,9.757142632
146,0.25257474,89.51931682,11.35311564
147,0.25757424,121.8720107,15.45618399
148,0.26257374,162.9261372,20.66279483
149,0.26757324,167.9679248,21.30220986
150,0.27257274,170.7038704,21.64919091
151,0.27757224,153.9459324,19.52389758
152,0.28257174,165.9008239,21.04005376
153,0.28757124,113.5103978,14.39573847
154,0.29257074,113.8710025,14.44147146
155,0.29757024,93.21031594,11.82121952
156,0.30256974,71.70769966,9.09419146
157,0.30756924,62.36686308,7.909557779
158,0.31256874,48.79434485,6.188249189
159,0.31756824,31.46133127,3.990022989
160,0.32256774,22.48442817,2.851544473
161,0.32756724,24.82535394,3.148427893
162,0.33256674,29.31041279,3.717236878
163,0.33756624,34.31840422,4.352365785
164,0.34256574,25.94579457,3.290525627
165,0.34756524,20.90036301,2.650648448
166,0.35256474,29.11612407,3.692596584
167,0.35756424,37.37310898,4.739772857
168,0.36256374,32.74301998,4.152570701
169,0.36756324,39.00671808,4.946952198
170,0.37256274,47.54802177,6.030186654
171,0.37756224,30.45844487,3.862833845
172,0.38256174,31.27150241,3.965948309
173,0.38756124,49.67330284,6.29972135
174,0.39256074,57.35488888,7.273923764
175,0.39756024,54.0850739,6.859235752
176,0.40255974,55.46874792,7.034717555
177,0.40755924,49.31689066,6.254520059
178,0.41255874,41.81185527,5.302708341
179,0.41755824,52.78160578,6.693925907
180,0.42255774,72.04505258,9.136975597
181,0.42755724,80.45410482,10.20343752
182,0.43255674,81.15302713,10.292077
183,0.43755624,79.92842928,10.13676973
184,0.44255574,90.95841075,11.53562597
185,0.44755524,117.7498495,14.9333988
186,0.45255474,137.1974833,17.39980765
187,0.45755424,182.6770069,23.16766099
188,0.46255374,234.8311933,29.78201564
189,0.46755324,332.7636538,42.20211209
190,0.47255274,479.6847695,60.83510076
191,0.47755224,642.4468597,81.47709064
192,0.48255174,904.4214075,114.7015101
193,0.48755124,1276.364919,161.8725326
194,0.49255074,1656.795986,210.1199728
195,0.49755024,2184.489758,277.0437232
196,0.50254974,2748.864195,348.6194287
197,0.50754924,3213.716236,407.573397
198,0.51254874,3649.986721,462.9025645
199,0.51754824,3935.131503,499.0655045
200,0.52254774,4059.185604,514.7984279
201,0.52754724,4129.472656,523.7124484
202,0.53254674,3784.228944,479.927577
203,0.53754624,3385.232612,429.3256325
204,0.54254574,2779.7765,352.5398225
205,0.54754524,2177.860212,276.2029438
206,0.55254474,1751.409586,222.1191612
207,0.55754424,1225.513368,155.4233821
208,0.56254374,887.4820509,112.5532087
209,0.56754324,586.6256917,74.39767809
210,0.57254274,368.5913868,46.7458956
211,0.57754224,254.7626992,32.30979064
212,0.58254174,161.2347589,20.44828902
213,0.58754124,144.8473873,18.36999204
214,0.59254074,102.8748578,13.04690651
215,0.59754024,109.4095884,13.87566118
216,0.60253974,94.05828569,11.92876166
217,0.60753924,108.6411055,13.77819981
218,0.61253874,113.2680309,14.36500075
219,0.61753824,117.8258282,14.94303465
220,0.62253774,108.2467882,13.72819127
221,0.62753724,93.63806443,11.8754679
222,0.63253674,117.5997595,14.91436392
223,0.63753624,98.9743837,12.55223636
224,0.64253574,87.74897053,11.12859487
225,0.64753524,98.5074453,12.49301779
226,0.65253474,86.97048102,11.02986443
227,0.65753424,111.1009149,14.09016041
228,0.66253374,126.318024,16.02004109
229,0.66753324,144.7222154,18.35411736
230,0.67253274,198.0999739,25.12364919
231,0.67753224,220.616047,27.97920698
232,0.68253174,285.1848071,36.16801612
233,0.68753124,339.2981562,43.03083781
234,0.69253074,342.9136681,43.48936818
235,0.69753024,376.7301603,47.77807994
236,0.70252974,409.4060664,51.92213905
237,0.70752924,443.9063376,56.29756977
238,0.71252874,423.3636928,53.69228825
239,0.71752824,399.986479,50.72751794
240,0.72252774,366.6194057,46.49580288
241,0.72752724,326.1766755,41.36673119
242,0.73252674,297.2399079,37.69688115
243,0.73752624,257.0252425,32.59673336
244,0.74252574,199.5231023,25.30413473
245,0.74752524,151.5630932,19.22169856
246,0.75252474,105.1248386,13.332256
247,0.75752424,97.99662454,12.42823393
248,0.76252374,80.79040074,10.2460876
249,0.76752324,75.97833678,9.635806821
250,0.77252274,56.30404568,7.140652591
251,0.77752224,55.71647924,7.066135604
252,0.78252174,55.17155644,6.997026815
253,0.78752124,50.16961529,6.362665224
254,0.79252074,45.43135004,5.761743823
255,0.79752024,33.39447169,4.235189815
256,0.80251974,51.11015363,6.481947195
257,0.80751924,42.58328402,5.400543312
