Channel,Energy,Counts,CPS
0,-1.90960902,0,0
1,-1.88961102,0,0
2,-1.86961302,0,0
3,-1.84961502,0,0
4,-1.82961702,0,0
5,-1.80961902,0,0
6,-1.78962102,0,0
7,-1.76962302,0,0
8,-1.74962502,0,0
9,-1.72962702,0,0
10,-1.70962902,0,0
11,-1.68963102,0,0
12,-1.66963302,0,0
13,-1.64963502,0,0
14,-1.62963702,0,0
15,-1.60963902,0,0
16,-1.58964102,0,0
17,-1.56964302,0,0
18,-1.54964502,0,0
19,-1.52964702,0,0
20,-1.50964902,0,0
21,-1.48965102,0,0
22,-1.46965302,0,0
23,-1.44965502,0,0
24,-1.42965702,0,0
25,-1.40965902,0,0
26,-1.38966102,0,0
27,-1.36966302,0,0
28,-1.34966502,0,0
29,-1.32966702,0,0
30,-1.30966902,0,0
31,-1.28967102,0,0
32,-1.26967302,0,0
33,-1.24967502,0,0
34,-1.22967702,0,0
35,-1.20967902,0,0
36,-1.18968102,0,0
37,-1.16968302,0,0
38,-1.14968502,0,0
39,-1.12968702,0,0
40,-1.10968902,0,0
41,-1.08969102,0,0
42,-1.06969302,0,0
43,-1.04969502,0,0
44,-1.02969702,0,0
45,-1.00969902,0,0
46,-0.98970102,0,0
47,-0.96970302,0,0
48,-0.94970502,0,0
49,-0.92970702,0,0
50,-0.90970902,0,0
51,-0.88971102,0,0
52,-0.86971302,0,0
53,-0.84971502,0,0
54,-0.82971702,0,0
55,-0.80971902,0,0
56,-0.78972102,0,0
57,-0.76972302,0,0
58,-0.74972502,0,0
59,-0.72972702,0,0
60,-0.70972902,0,0
61,-0.68973102,0,0
62,-0.66973302,0,0
63,-0.64973502,0,0
64,-0.62973702,0,0
65,-0.60973902,0,0
66,-0.58974102,0,0
67,-0.56974302,0,0
68,-0.54974502,0,0
69,-0.52974702,0,0
70,-0.50974902,0,0
71,-0.48975102,0,0
72,-0.46975302,0,0
73,-0.44975502,0,0
74,-0.42975702,0,0
75,-0.40975902,0,0
76,-0.38976102,0,0
77,-0.36976302,0,0
78,-0.34976502,0,0
79,-0.32976702,0,0
80,-0.30976902,0,0
81,-0.28977102,0,0
82,-0.26977302,0,0
83,-0.24977502,0,0
84,-0.22977702,0,0
85,-0.20977902,0,0
86,-0.18978102,0,0
87,-0.16978302,1,0.096311278
88,-0.14978502,0,0
89,-0.12978702,20,1.926225561
90,-0.10978902,128,12.32784359
91,-0.08979102,559,53.83800443
92,-0.06979302,1843,177.5016854
93,-0.04979502,4672,449.9662911
94,-0.02979702,8524,820.9573341
95,-0.00979902,11416,1099.48955
96,0.01019898,11364,1094.481364
97,0.03019698,8345,803.7176153
98,0.05019498,4631,446.0175287
99,0.07019298,1919,184.8213426
100,0.09019098,553,53.26013676
101,0.11018898,139,13.38726765
102,0.13018698,28,2.696715785
103,0.15018498,3,0.288933834
104,0.17018298,0,0
105,0.19018098,0,0
106,0.21017898,2.671743277,0.25731901
107,0.23017698,28.8928876,2.782710932
108,0.25017498,95.18663228,9.167546208
109,0.27017298,125.7839164,12.11440974
110,0.29017098,141.9814656,13.67441641
111,0.31016898,126.6398119,12.19684214
112,0.33016698,87.95097971,8.470671261
113,0.35016498,75.86729389,7.306876036
114,0.37016298,91.51347138,8.813779388
115,0.39016098,142.762607,13.74964913
116,0.41015898,310.2487718,29.88045573
117,0.43015698,729.1698221,70.22727748
118,0.45015498,1732.889874,166.8968385
119,0.47015298,3384.318616,325.9480512
120,0.49015098,5314.598984,511.8558205
121,0.51014898,6773.556663,652.3698992
122,0.53014698,6799.263364,654.8457443
123,0.55014498,5221.064567,502.8474012
124,0.57014298,3253.057408,313.3061166
125,0.59014098,1559.840498,150.2302319
126,0.61013898,584.7701266,56.31995826
127,0.63013698,222.7127171,21.44974642
128,0.65013498,91.30282018,8.793491301
129,0.67013298,88.52193136,8.525660345
130,0.69013098,74.19604207,7.145915638
131,0.71012898,92.96037816,8.953132829
132,0.73012698,105.7959105,10.18933935
133,0.75012498,102.2465137,9.847492415
134,0.77012298,109.921954,10.58672388
135,0.79012098,116.052945,11.17720745
136,0.81011898,112.8333104,10.86712033
137,0.83011698,144.1251518,13.88087757
