Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,5,0.041666667
83,-0.06239376,20,0.166666667
84,-0.05739426,43,0.358333333
85,-0.05239476,174,1.45
86,-0.04739526,513,4.275
87,-0.04239576,1297,10.80833333
88,-0.03739626,3010,25.08333333
89,-0.03239676,6264,52.2
90,-0.02739726,11796,98.3
91,-0.02239776,19730,164.4166667
92,-0.01739826,30033,250.275
93,-0.01239876,40883,340.6916667
94,-0.00739926,50385,419.875
95,-0.00239976,55477,462.3083333
96,0.00259974,55371,461.425
97,0.00759924,49180,409.8333333
98,0.01259874,40568,338.0666667
99,0.01759824,29449,245.4083333
100,0.02259774,19302,160.85
101,0.02759724,11708,97.56666667
102,0.03259674,6330,52.75
103,0.03759624,3072,25.6
104,0.04259574,1434,11.95
105,0.04759524,554,4.616666667
106,0.05259474,212,1.766666667
107,0.05759424,64,0.533333333
108,0.06259374,23,0.191666667
109,0.06759324,12,0.1
110,0.07259274,1.978415445,0.016486795
111,0.07759224,0,0
112,0.08259174,179.1921544,1.493267953
113,0.08759124,172.1823943,1.434853286
114,0.09259074,133.3257883,1.111048235
115,0.09759024,115.2338057,0.960281714
116,0.10258974,106.0181848,0.883484873
117,0.10758924,98.622243,0.821852025
118,0.11258874,85.17810291,0.709817524
119,0.11758824,74.93678564,0.624473214
120,0.12258774,81.89078428,0.682423202
121,0.12758724,81.69425593,0.680785466
122,0.13258674,75.21660511,0.626805043
123,0.13758624,77.55566838,0.646297237
124,0.14258574,61.78440604,0.51487005
125,0.14758524,53.68530743,0.447377562
126,0.15258474,57.30781336,0.477565111
127,0.15758424,62.76882802,0.523073567
128,0.16258374,50.12243016,0.417686918
129,0.16758324,57.39740313,0.478311693
130,0.17258274,71.79546679,0.598295557
131,0.17758224,76.63172542,0.638597712
132,0.18258174,72.81956567,0.606829714
133,0.18758124,82.31518033,0.685959836
134,0.19258074,80.19611007,0.668300917
135,0.19758024,73.9659522,0.616382935
136,0.20257974,94.28848176,0.785737348
137,0.20757924,126.4799735,1.053999779
138,0.21257874,131.6221351,1.096851125
139,0.21757824,122.2430491,1.018692076
140,0.22257774,135.652205,1.130435042
141,0.22757724,198.6012237,1.655010197
142,0.23257674,241.7560311,2.014633593
143,0.23757624,340.5713692,2.838094743
144,0.24257574,434.9671989,3.624726657
145,0.24757524,549.303101,4.577525842
146,0.25257474,658.08453,5.48403775
147,0.25757424,827.5348914,6.896124095
148,0.26257374,1013.146631,8.442888591
149,0.26757324,1164.714806,9.705956717
150,0.27257274,1254.128491,10.45107076
151,0.27757224,1233.620615,10.28017179
152,0.28257174,1262.046338,10.51705281
153,0.28757124,1117.258585,9.310488206
154,0.29257074,889.5883154,7.413235961
155,0.29757024,761.9064549,6.349220458
156,0.30256974,612.4767042,5.103972535
157,0.30756924,449.3365925,3.744471604
158,0.31256874,317.2533425,2.643777854
159,0.31756824,233.3435814,1.944529845
160,0.32256774,160.7274926,1.339395772
161,0.32756724,141.9305222,1.182754352
162,0.33256674,135.8893666,1.132411389
163,0.33756624,152.8637475,1.273864563
164,0.34256574,159.6357991,1.330298326
165,0.34756524,166.3717076,1.386430897
166,0.35256474,159.9278878,1.332732399
167,0.35756424,184.753943,1.539616192
168,0.36256374,221.5761019,1.846467516
169,0.36756324,241.2805589,2.010671324
170,0.37256274,266.7593126,2.222994271
171,0.37756224,312.8953921,2.607461601
172,0.38256174,344.6933713,2.872444761
173,0.38756124,371.5026425,3.095855354
174,0.39256074,378.495865,3.154132208
175,0.39756024,359.4678012,2.99556501
176,0.40255974,361.5518291,3.012931909
177,0.40755924,374.4030415,3.120025346
178,0.41255874,363.280487,3.027337392
179,0.41755824,351.1524666,2.926270555
180,0.42255774,359.110388,2.992586567
181,0.42755724,397.5035484,3.31252957
182,0.43255674,438.3917151,3.653264292
183,0.43755624,504.7847274,4.206539395
184,0.44255574,578.6021495,4.821684579
185,0.44755524,642.788969,5.356574742
186,0.45255474,745.0160532,6.20846711
187,0.45755424,946.7426575,7.889522146
188,0.46255374,1263.823476,10.5318623
189,0.46755324,1733.118893,14.44265744
190,0.47255274,2359.144524,19.6595377
191,0.47755224,3341.797853,27.84831544
192,0.48255174,4693.622605,39.11352171
193,0.48755124,6299.996683,52.49997236
194,0.49255074,8404.454063,70.03711719
195,0.49755024,10834.83217,90.29026806
196,0.50254974,13422.60017,111.8550014
197,0.50754924,15878.21413,132.3184511
198,0.51254874,18079.16123,150.6596769
199,0.51754824,19591.23291,163.2602742
200,0.52254774,20330.77837,169.4231531
201,0.52754724,19878.11467,165.6509556
202,0.53254674,18583.40887,154.8617406
203,0.53754624,16576.75746,138.1396455
204,0.54254574,14033.52666,116.9460555
205,0.54754524,11198.06504,93.31720864
206,0.55254474,8649.967992,72.0830666
207,0.55754424,6081.055314,50.67546095
208,0.56254374,4303.907271,35.86589392
209,0.56754324,2885.14637,24.04288642
210,0.57254274,1921.202354,16.01001962
211,0.57754224,1286.74356,10.722863
212,0.58254174,898.3695743,7.486413119
213,0.58754124,702.457871,5.853815592
214,0.59254074,635.608636,5.296738633
215,0.59754024,606.4636321,5.053863601
216,0.60253974,631.5166045,5.262638371
217,0.60753924,625.6661566,5.213884639
218,0.61253874,676.1833407,5.634861172
219,0.61753824,677.9242649,5.649368874
220,0.62253774,725.3698159,6.044748466
221,0.62753724,680.2635398,5.668862832
222,0.63253674,615.7639753,5.131366461
223,0.63753624,543.9566357,4.532971964
224,0.64253574,560.161995,4.668016625
225,0.64753524,566.6088327,4.721740272
226,0.65253474,530.8078568,4.423398807
227,0.65753424,667.2809463,5.560674553
228,0.66253374,676.2418415,5.635348679
229,0.66753324,881.3374649,7.344478874
230,0.67253274,1072.263889,8.935532406
231,0.67753224,1386.50723,11.55422692
232,0.68253174,1535.875452,12.7989621
233,0.68753124,1902.798745,15.85665621
234,0.69253074,2171.423223,18.09519352
235,0.69753024,2375.520336,19.7960028
236,0.70252974,2467.979296,20.56649413
237,0.70752924,2657.193971,22.14328309
238,0.71252874,2562.765377,21.35637814
239,0.71752824,2398.663291,19.98886076
240,0.72252774,2191.373534,18.26144612
241,0.72752724,1970.67941,16.42232841
242,0.73252674,1749.440748,14.5786729
243,0.73752624,1451.665229,12.09721024
244,0.74252574,1150.690574,9.589088119
245,0.74752524,865.9191619,7.215993016
246,0.75252474,730.6703206,6.088919338
247,0.75752424,604.4684843,5.037237369
248,0.76252374,504.2476346,4.202063622
249,0.76752324,470.778237,3.923151975
250,0.77252274,330.9451864,2.757876554
251,0.77752224,313.4064539,2.611720449
252,0.78252174,304.9768942,2.541474118
253,0.78752124,276.8447486,2.307039572
254,0.79252074,293.9094094,2.449245078
255,0.79752024,256.6168295,2.138473579
256,0.80251974,259.3057293,2.160881078
257,0.80751924,245.9867971,2.049889976
258,0.81251874,262.9523771,2.191269809
