Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,1,0.008333333
82,-0.06739326,0,0
83,-0.06239376,7,0.058333333
84,-0.05739426,20,0.166666667
85,-0.05239476,51,0.425
86,-0.04739526,126,1.05
87,-0.04239576,350,2.916666667
88,-0.03739626,818,6.816666667
89,-0.03239676,1655,13.79166667
90,-0.02739726,3256,27.13333333
91,-0.02239776,5374,44.78333333
92,-0.01739826,8247,68.725
93,-0.01239876,11069,92.24166667
94,-0.00739926,13616,113.4666667
95,-0.00239976,15133,126.1083333
96,0.00259974,15085,125.7083333
97,0.00759924,13370,111.4166667
98,0.01259874,10944,91.2
99,0.01759824,7892,65.76666667
100,0.02259774,5280,44
101,0.02759724,3200,26.66666667
102,0.03259674,1766,14.71666667
103,0.03759624,881,7.341666667
104,0.04259574,377,3.141666667
105,0.04759524,171,1.425
106,0.05259474,46,0.383333333
107,0.05759424,19,0.158333333
108,0.06259374,7,0.058333333
109,0.06759324,3,0.025
110,0.07259274,0,0
111,0.07759224,4.410124745,0.03675104
112,0.08259174,116.7985153,0.973320961
113,0.08759124,63.97084614,0.533090385
114,0.09259074,25.76722901,0.214726908
115,0.09759024,21.83192636,0.18193272
116,0.10258974,18.86687695,0.157223975
117,0.10758924,11.70412973,0.097534414
118,0.11258874,15.6009745,0.130008121
119,0.11758824,8.190737752,0.068256148
120,0.12258774,18.22506128,0.151875511
121,0.12758724,10.2708783,0.085590652
122,0.13258674,10.96574707,0.091381226
123,0.13758624,12.47173475,0.103931123
124,0.14258574,12.53485246,0.104457104
125,0.14758524,7.544005152,0.06286671
126,0.15258474,7.047002597,0.058725022
127,0.15758424,3.066609231,0.025555077
128,0.16258374,11.31369667,0.094280806
129,0.16758324,7.71620772,0.064301731
130,0.17258274,10.90908,0.090909
131,0.17758224,5.832412559,0.048603438
132,0.18258174,15.10685102,0.125890425
133,0.18758124,15.85064882,0.13208874
134,0.19258074,19.91814135,0.165984511
135,0.19758024,16.95368774,0.141280731
136,0.20257974,17.1575328,0.14297944
137,0.20757924,23.34470947,0.194539246
138,0.21257874,16.27651573,0.135637631
139,0.21757824,22.39136835,0.186594736
140,0.22257774,28.23574079,0.23529784
141,0.22757724,36.25118819,0.302093235
142,0.23257674,54.89621187,0.457468432
143,0.23757624,34.50234013,0.287519501
144,0.24257574,69.33522088,0.577793507
145,0.24757524,89.88777362,0.74906478
146,0.25257474,119.6565128,0.997137607
147,0.25757424,138.7233628,1.156028024
148,0.26257374,174.2753375,1.452294479
149,0.26757324,201.146601,1.676221675
150,0.27257274,192.3201537,1.602667947
151,0.27757224,214.2943738,1.785786449
152,0.28257174,201.6618636,1.68051553
153,0.28757124,175.7190872,1.464325726
154,0.29257074,147.8560711,1.232133926
155,0.29757024,114.5145405,0.954287837
156,0.30256974,92.69589883,0.772465824
157,0.30756924,59.36438495,0.494703208
158,0.31256874,41.64717058,0.347059755
159,0.31756824,34.27441303,0.285620109
160,0.32256774,27.0485189,0.225404324
161,0.32756724,29.29138929,0.244094911
162,0.33256674,30.02625396,0.250218783
163,0.33756624,26.29104535,0.219092045
164,0.34256574,26.82657022,0.223554752
165,0.34756524,26.51333119,0.220944427
166,0.35256474,29.17501849,0.243125154
167,0.35756424,29.64430348,0.247035862
168,0.36256374,35.51772892,0.295981074
169,0.36756324,31.7169105,0.264307587
170,0.37256274,29.87926141,0.248993845
171,0.37756224,40.67865243,0.33898877
172,0.38256174,38.81517913,0.323459826
173,0.38756124,40.9113409,0.340927841
174,0.39256074,49.33227095,0.411102258
175,0.39756024,49.93642586,0.416136882
176,0.40255974,48.57742314,0.40481186
177,0.40755924,44.63805302,0.371983775
178,0.41255874,54.10114276,0.450842856
179,0.41755824,59.26918425,0.493909869
180,0.42255774,51.72296904,0.431024742
181,0.42755724,64.21789757,0.535149146
182,0.43255674,87.22867835,0.726905653
183,0.43755624,86.97757475,0.724813123
184,0.44255574,81.53028095,0.679419008
185,0.44755524,105.0292304,0.875243587
186,0.45255474,128.4780634,1.070650528
187,0.45755424,154.6266685,1.288555571
188,0.46255374,215.0372717,1.791977264
189,0.46755324,296.3781855,2.469818213
190,0.47255274,418.2586792,3.485488993
191,0.47755224,580.1590713,4.834658927
192,0.48255174,812.3961541,6.769967951
193,0.48755124,1084.499535,9.037496121
194,0.49255074,1483.451047,12.36209206
195,0.49755024,1894.996411,15.79163676
196,0.50254974,2378.249986,19.81874989
197,0.50754924,2856.040848,23.8003404
198,0.51254874,3269.358164,27.24465137
199,0.51754824,3507.452544,29.2287712
200,0.52254774,3671.853609,30.59878007
201,0.52754724,3593.141417,29.94284514
202,0.53254674,3316.287397,27.63572831
203,0.53754624,2962.472709,24.68727258
204,0.54254574,2471.127899,20.59273249
205,0.54754524,1939.562376,16.1630198
206,0.55254474,1485.370818,12.37809015
207,0.55754424,1082.6041,9.021700829
208,0.56254374,735.3381664,6.127818054
209,0.56754324,482.2706136,4.01892178
210,0.57254274,333.1351721,2.776126434
211,0.57754224,199.0144506,1.658453755
212,0.58254174,149.0696127,1.242246772
213,0.58754124,129.3947356,1.078289464
214,0.59254074,127.4645216,1.062204347
215,0.59754024,116.5569494,0.971307912
216,0.60253974,122.0715164,1.017262636
217,0.60753924,112.2694793,0.935578995
218,0.61253874,122.9474471,1.024562059
219,0.61753824,137.4318693,1.145265577
220,0.62253774,157.5578024,1.312981687
221,0.62753724,140.7170069,1.172641724
222,0.63253674,132.890192,1.107418267
223,0.63753624,100.9056188,0.840880157
224,0.64253574,131.9097277,1.099247731
225,0.64753524,128.2747633,1.068956361
226,0.65253474,104.5978301,0.871648584
227,0.65753424,140.3054319,1.169211933
228,0.66253374,166.6627725,1.388856437
229,0.66753324,222.2727033,1.852272528
230,0.67253274,247.9897076,2.066580896
231,0.67753224,276.999778,2.308331484
232,0.68253174,367.8717775,3.065598146
233,0.68753124,404.4451103,3.370375919
234,0.69253074,497.2402084,4.143668403
235,0.69753024,514.0461007,4.283717506
236,0.70252974,545.0018371,4.541681976
237,0.70752924,560.1347103,4.667789253
238,0.71252874,548.7899153,4.573249295
239,0.71752824,502.882215,4.190685125
240,0.72252774,470.1198774,3.917665645
241,0.72752724,377.0632306,3.142193588
242,0.73252674,334.5849339,2.788207782
243,0.73752624,314.5573722,2.621311435
244,0.74252574,226.4649847,1.887208206
245,0.74752524,177.1721305,1.476434421
246,0.75252474,145.153823,1.209615191
247,0.75752424,108.2354446,0.901962038
248,0.76252374,78.66608082,0.655550673
249,0.76752324,76.16914573,0.634742881
250,0.77252274,50.69396145,0.422449679
251,0.77752224,48.51106582,0.404258882
252,0.78252174,50.50155706,0.420846309
253,0.78752124,46.88860934,0.390738411
254,0.79252074,48.75893422,0.406324452
255,0.79752024,37.90581447,0.315881787
256,0.80251974,36.25606951,0.302133913
257,0.80751924,40.16493059,0.334707755
258,0.81251874,43.07244619,0.358937052
