Channel,Energy,Counts,CPS
0,-1.90960902,0,0
1,-1.88961102,0,0
2,-1.86961302,0,0
3,-1.84961502,0,0
4,-1.82961702,0,0
5,-1.80961902,0,0
6,-1.78962102,0,0
7,-1.76962302,0,0
8,-1.74962502,0,0
9,-1.72962702,0,0
10,-1.70962902,0,0
11,-1.68963102,0,0
12,-1.66963302,0,0
13,-1.64963502,0,0
14,-1.62963702,0,0
15,-1.60963902,0,0
16,-1.58964102,0,0
17,-1.56964302,0,0
18,-1.54964502,0,0
19,-1.52964702,0,0
20,-1.50964902,0,0
21,-1.48965102,0,0
22,-1.46965302,0,0
23,-1.44965502,0,0
24,-1.42965702,0,0
25,-1.40965902,0,0
26,-1.38966102,0,0
27,-1.36966302,0,0
28,-1.34966502,0,0
29,-1.32966702,0,0
30,-1.30966902,0,0
31,-1.28967102,0,0
32,-1.26967302,0,0
33,-1.24967502,0,0
34,-1.22967702,0,0
35,-1.20967902,0,0
36,-1.18968102,0,0
37,-1.16968302,0,0
38,-1.14968502,0,0
39,-1.12968702,0,0
40,-1.10968902,0,0
41,-1.08969102,0,0
42,-1.06969302,0,0
43,-1.04969502,0,0
44,-1.02969702,0,0
45,-1.00969902,0,0
46,-0.98970102,0,0
47,-0.96970302,0,0
48,-0.94970502,0,0
49,-0.92970702,0,0
50,-0.90970902,0,0
51,-0.88971102,0,0
52,-0.86971302,0,0
53,-0.84971502,0,0
54,-0.82971702,0,0
55,-0.80971902,0,0
56,-0.78972102,0,0
57,-0.76972302,0,0
58,-0.74972502,0,0
59,-0.72972702,0,0
60,-0.70972902,0,0
61,-0.68973102,0,0
62,-0.66973302,0,0
63,-0.64973502,0,0
64,-0.62973702,0,0
65,-0.60973902,0,0
66,-0.58974102,0,0
67,-0.56974302,0,0
68,-0.54974502,0,0
69,-0.52974702,0,0
70,-0.50974902,0,0
71,-0.48975102,0,0
72,-0.46975302,0,0
73,-0.44975502,0,0
74,-0.42975702,0,0
75,-0.40975902,0,0
76,-0.38976102,0,0
77,-0.36976302,0,0
78,-0.34976502,0,0
79,-0.32976702,0,0
80,-0.30976902,0,0
81,-0.28977102,0,0
82,-0.26977302,0,0
83,-0.24977502,0,0
84,-0.22977702,0,0
85,-0.20977902,0,0
86,-0.18978102,0,0
87,-0.16978302,0,0
88,-0.14978502,2,0.164622603
89,-0.12978702,26,2.140093835
90,-0.10978902,139,11.44127089
91,-0.08979102,651,53.58465717
92,-0.06979302,2011,165.528027
93,-0.04979502,4919,404.8892913
94,-0.02979702,8819,725.9033665
95,-0.00979902,11970,985.2662771
96,0.01019898,12296,1012.099761
97,0.03019698,8839,727.5495926
98,0.05019498,4847,398.9628776
99,0.07019298,1996,164.2933575
100,0.09019098,587,48.31673389
101,0.11018898,156,12.84056301
102,0.13018698,29,2.387027739
103,0.15018498,3,0.246933904
104,0.17018298,1,0.082311301
105,0.19018098,0,0
106,0.21017898,7.360525474,0.60585443
107,0.23017698,83.31597953,6.857846697
108,0.25017498,166.3314275,13.69095625
109,0.27017298,264.9785102,21.81072601
110,0.29017098,265.6782001,21.86831838
111,0.31016898,240.2927622,19.77880996
112,0.33016698,180.807416,14.88249371
113,0.35016498,148.8619192,12.25301829
114,0.37016298,167.8422118,13.81531088
115,0.39016098,253.6126454,20.87518688
116,0.41015898,435.3812463,35.83679696
117,0.43015698,934.843016,76.9481452
118,0.45015498,2094.940744,172.4372988
119,0.47015298,4028.599176,331.5992408
120,0.49015098,6453.940975,531.2322804
121,0.51014898,8322.70935,685.0530373
122,0.53014698,8163.281514,671.9303246
123,0.55014498,6303.136201,518.8193433
124,0.57014298,4023.083261,331.1452186
125,0.59014098,2192.406556,180.4598367
126,0.61013898,1238.942447,101.9789651
127,0.63013698,931.2294519,76.65070804
128,0.65013498,1034.270574,85.1321569
129,0.67013298,1309.632671,107.7975694
130,0.69013098,1537.564824,126.5589615
131,0.71012898,1604.799131,132.0931048
132,0.73012698,1305.302456,107.4411438
133,0.75012498,997.2530272,82.08519444
134,0.77012298,599.6331767,49.3565871
135,0.79012098,313.2112802,25.78082807
136,0.81011898,214.8919221,17.68803375
137,0.83011698,147.9572431,12.17855322
