Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,1,0.123107226
83,-0.06239376,2,0.246214453
84,-0.05739426,10,1.231072264
85,-0.05239476,22,2.708358981
86,-0.04739526,101,12.43382987
87,-0.04239576,184,22.65172966
88,-0.03739626,409,50.3508556
89,-0.03239676,1041,128.1546227
90,-0.02739726,1912,235.3810169
91,-0.02239776,3397,418.1952481
92,-0.01739826,4757,585.621076
93,-0.01239876,6549,806.2292257
94,-0.00739926,8083,995.0757109
95,-0.00239976,9071,1116.705651
96,0.00259974,8701,1071.155977
97,0.00759924,7906,973.2857319
98,0.01259874,6389,786.5320694
99,0.01759824,4662,573.9258894
100,0.02259774,3106,382.3710452
101,0.02759724,1884,231.9340145
102,0.03259674,1025,126.1849071
103,0.03759624,502,61.79982765
104,0.04259574,243,29.91505601
105,0.04759524,106,13.049366
106,0.05259474,28,3.447002339
107,0.05759424,19,2.339037301
108,0.06259374,7,0.861750585
109,0.06759324,1,0.123107226
110,0.07259274,1,0.123107226
111,0.07759224,0,0
112,0.08259174,13.90302155,1.711562422
113,0.08759124,10.18018868,1.253254792
114,0.09259074,23.0980991,2.843542916
115,0.09759024,20.2031204,2.487150117
116,0.10258974,18.47073087,2.273880447
117,0.10758924,10.54048186,1.297609487
118,0.11258874,9.236949825,1.137135273
119,0.11758824,12.29848063,1.514031839
120,0.12258774,12.56429129,1.546755052
121,0.12758724,10.83323654,1.333649704
122,0.13258674,10.833601,1.333694571
123,0.13758624,3.571880084,0.43972425
124,0.14258574,3.808263697,0.468824781
125,0.14758524,8.687232503,1.069461098
126,0.15258474,9.14975546,1.126401017
127,0.15758424,9.142530963,1.125511629
128,0.16258374,10.42089131,1.282887025
129,0.16758324,9.468174107,1.165600653
130,0.17258274,10.0070041,1.23193452
131,0.17758224,7.637944128,0.940286117
132,0.18258174,9.643502619,1.18718486
133,0.18758124,9.292572244,1.143982795
134,0.19258074,9.972134223,1.227641785
135,0.19758024,20.0147257,2.463957368
136,0.20257974,18.28210605,2.250659368
137,0.20757924,14.6850713,1.807838397
138,0.21257874,9.96491469,1.226753009
139,0.21757824,10.10169439,1.243591578
140,0.22257774,32.71371568,4.027294802
141,0.22757724,51.24891958,6.309112345
142,0.23257674,57.80569787,7.116299134
143,0.23757624,64.01721097,7.880981284
144,0.24257574,63.74451194,7.847410062
145,0.24757524,49.69151647,6.117384768
146,0.25257474,97.39870951,11.99048498
147,0.25757424,138.9374966,17.10420985
148,0.26257374,169.9489667,20.92194592
149,0.26757324,185.3068103,22.81260744
150,0.27257274,221.5230467,27.27108786
151,0.27757224,241.9520601,29.78604704
152,0.28257174,228.4487088,28.12368692
153,0.28757124,215.7950631,26.56593169
154,0.29257074,166.1776168,20.4576655
155,0.29757024,98.31053332,12.10273708
156,0.30256974,100.0623698,12.31840082
157,0.30756924,72.45116407,8.919261858
158,0.31256874,59.96606419,7.382255841
159,0.31756824,55.83526759,6.873724928
160,0.32256774,43.00582816,5.294328223
161,0.32756724,40.61217865,4.999652671
162,0.33256674,49.38035981,6.079079134
163,0.33756624,49.77667817,6.127868789
164,0.34256574,35.03888611,4.313540085
165,0.34756524,35.12427996,4.324052685
166,0.35256474,29.72747086,3.659666485
167,0.35756424,21.77736521,2.680951029
168,0.36256374,22.31094748,2.746638863
169,0.36756324,14.72619572,1.812901111
170,0.37256274,16.68733342,2.054331333
171,0.37756224,32.7541352,4.032270737
172,0.38256174,38.75446201,4.770954328
173,0.38756124,40.57909769,4.995580167
174,0.39256074,38.80687215,4.777406395
175,0.39756024,32.0173839,3.941571329
176,0.40255974,33.4668188,4.120007238
177,0.40755924,33.98823413,4.184197233
178,0.41255874,30.06243797,3.700903357
179,0.41755824,29.19665369,3.594319056
180,0.42255774,31.67174893,3.899021166
181,0.42755724,32.21770404,3.966232186
182,0.43255674,36.04927277,4.437925984
183,0.43755624,43.23045852,5.321981844
184,0.44255574,40.75880572,5.017703523
185,0.44755524,43.76870518,5.388243898
186,0.45255474,57.23101211,7.045551165
187,0.45755424,76.67667159,9.439452369
188,0.46255374,101.8594372,12.5396328
189,0.46755324,149.251475,18.37393513
190,0.47255274,218.2802039,26.87187048
191,0.47755224,279.9459971,34.46337524
192,0.48255174,366.1930174,45.08100669
193,0.48755124,517.8650638,63.75293165
194,0.49255074,693.6136136,85.38884816
195,0.49755024,878.3755504,108.1343777
196,0.50254974,1083.548409,133.3926393
197,0.50754924,1291.957327,159.0492832
198,0.51254874,1472.896949,181.3242581
199,0.51754824,1659.374201,204.2809554
200,0.52254774,1689.641489,208.0070773
201,0.52754724,1681.252813,206.9743706
202,0.53254674,1586.769343,195.3427727
203,0.53754624,1445.370304,177.9355292
204,0.54254574,1232.475283,151.7266137
205,0.54754524,975.7937797,120.1272658
206,0.55254474,705.4139289,86.84155225
207,0.55754424,522.7693323,64.35668255
208,0.56254374,335.7034631,41.32752224
209,0.56754324,249.7795818,30.74967153
210,0.57254274,144.4393544,17.7815283
211,0.57754224,97.0404687,11.94638295
212,0.58254174,77.77197629,9.574292292
213,0.58754124,45.09334174,5.55131623
214,0.59254074,49.24653853,6.062604768
215,0.59754024,42.62882355,5.247916232
216,0.60253974,45.30796443,5.577737834
217,0.60753924,55.26205201,6.803157948
218,0.61253874,38.09045021,4.689209678
219,0.61753824,45.85643884,5.645258997
220,0.62253774,51.53781963,6.344678029
221,0.62753724,53.83255043,6.627175973
222,0.63253674,46.32873414,5.703401962
223,0.63753624,56.24389589,6.924030025
224,0.64253574,69.71894929,8.582906474
225,0.64753524,81.67428058,10.05469415
226,0.65253474,93.671326,11.53161714
227,0.65753424,91.17510456,11.22431424
228,0.66253374,127.1845669,15.65733927
229,0.66753324,143.928716,17.71866502
230,0.67253274,157.7844641,19.42440774
231,0.67753224,162.7331273,20.03362394
232,0.68253174,171.7533751,21.14408163
233,0.68753124,179.9232626,22.14985382
234,0.69253074,205.9074792,25.34869865
235,0.69753024,187.9377128,23.13649056
236,0.70252974,152.0615376,18.71987413
237,0.70752924,190.1047585,23.40326955
238,0.71252874,163.5030637,20.12840868
239,0.71752824,170.9016639,21.03922983
240,0.72252774,157.1701869,19.34878578
241,0.72752724,115.1630615,14.17740509
242,0.73252674,116.72089,14.36918503
243,0.73752624,90.78364189,11.17612236
244,0.74252574,82.38420297,10.14209073
245,0.74752524,76.13704665,9.373020639
246,0.75252474,59.83828785,7.366525649
247,0.75752424,63.46393909,7.812869517
248,0.76252374,54.08405246,6.65813769
249,0.76752324,51.39488348,6.327081556
250,0.77252274,47.50173845,5.84780727
251,0.77752224,40.4520925,4.979944909
252,0.78252174,40.19846916,4.948722044
253,0.78752124,38.22052205,4.705222461
254,0.79252074,35.6860083,4.393205503
255,0.79752024,37.04987322,4.56110713
256,0.80251974,51.98111868,6.399251346
257,0.80751924,25.72418182,3.166832675
