Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,1,0.126246686
83,-0.06239376,5,0.63123343
84,-0.05739426,14,1.767453604
85,-0.05239476,46,5.807347557
86,-0.04739526,88,11.10970837
87,-0.04239576,244,30.80419139
88,-0.03739626,525,66.27951016
89,-0.03239676,1141,144.0474688
90,-0.02739726,2144,270.6728948
91,-0.02239776,3498,441.6109077
92,-0.01739826,5287,667.466229
93,-0.01239876,7085,894.4577705
94,-0.00739926,8754,1105.163489
95,-0.00239976,9433,1190.884989
96,0.00259974,9564,1207.423305
97,0.00759924,8382,1058.199722
98,0.01259874,6989,882.3380886
99,0.01759824,5299,668.9811892
100,0.02259774,3498,441.6109077
101,0.02759724,2081,262.7193536
102,0.03259674,1169,147.582376
103,0.03759624,589,74.35929807
104,0.04259574,241,30.42545133
105,0.04759524,108,13.63464209
106,0.05259474,37,4.671127383
107,0.05759424,18,2.272440348
108,0.06259374,6,0.757480116
109,0.06759324,3,0.378740058
110,0.07259274,2,0.252493372
111,0.07759224,1.552028739,0.195938485
112,0.08259174,19.88210203,2.510049493
113,0.08759124,14.22880844,1.796339911
114,0.09259074,14.59329625,1.84235529
115,0.09759024,14.38804373,1.816442839
116,0.10258974,13.56891402,1.713030428
117,0.10758924,16.91419326,2.135360846
118,0.11258874,15.33515549,1.936012561
119,0.11758824,12.83600414,1.620502985
120,0.12258774,12.74790728,1.609381048
121,0.12758724,14.94806978,1.887144272
122,0.13258674,18.80144134,2.373619661
123,0.13758624,7.560927633,0.954542057
124,0.14258574,0,0
125,0.14758524,12.50219213,1.578360324
126,0.15258474,13.98645546,1.765743651
127,0.15758424,10.07249426,1.271619021
128,0.16258374,9.075094367,1.145700589
129,0.16758324,11.49244785,1.450883456
130,0.17258274,1.454419669,0.183615663
131,0.17758224,7.951168047,1.003808616
132,0.18258174,7.361179377,0.929324502
133,0.18758124,11.43674673,1.443851374
134,0.19258074,16.6051277,2.096342343
135,0.19758024,14.85823579,1.875803029
136,0.20257974,12.64986618,1.597003684
137,0.20757924,0,0
138,0.21257874,0,0
139,0.21757824,10.72775744,1.354343826
140,0.22257774,24.23600572,3.059715405
141,0.22757724,32.14396547,4.058069116
142,0.23257674,54.42541101,6.871027776
143,0.23757624,48.93788117,6.178245318
144,0.24257574,37.79915961,4.772018636
145,0.24757524,33.08595368,4.176992007
146,0.25257474,58.6273785,7.401512245
147,0.25757424,73.88961349,9.328318835
148,0.26257374,107.0066892,13.50923989
149,0.26757324,96.39076032,12.16901405
150,0.27257274,107.1422962,13.52635983
151,0.27757224,120.5350879,15.2171554
152,0.28257174,116.4543526,14.70197609
153,0.28757124,124.7963196,15.75512177
154,0.29257074,114.4788586,14.45257651
155,0.29757024,79.156864,9.993291756
156,0.30256974,68.74212084,8.678464946
157,0.30756924,42.0093732,5.303544148
158,0.31256874,30.16649805,3.808420408
159,0.31756824,37.67708631,4.756607285
160,0.32256774,52.75763416,6.660476475
161,0.32756724,39.31262058,4.963088067
162,0.33256674,26.00992397,3.283666705
163,0.33756624,29.10136904,3.673951401
164,0.34256574,25.85220413,3.263755097
165,0.34756524,34.78949309,4.392058211
166,0.35256474,31.61017714,3.990680108
167,0.35756424,33.51374683,4.230999474
168,0.36256374,24.9551125,3.150500253
169,0.36756324,25.57356017,3.228577221
170,0.37256274,21.70726296,2.740470012
171,0.37756224,25.55201189,3.225856822
172,0.38256174,31.16629087,3.934640938
173,0.38756124,26.05445693,3.289288843
174,0.39256074,18.80197056,2.373686474
175,0.39756024,14.56062011,1.838230035
176,0.40255974,15.33959823,1.936573442
177,0.40755924,19.97533539,2.521819895
178,0.41255874,29.26628995,3.694772119
179,0.41755824,28.31833081,3.575095419
180,0.42255774,24.4272981,3.083865433
181,0.42755724,34.88950292,4.40468412
182,0.43255674,33.09257411,4.177827813
183,0.43755624,30.45892942,3.845338899
184,0.44255574,35.55555303,4.48877074
185,0.44755524,32.2812319,4.075398548
186,0.45255474,41.38502381,5.224722107
187,0.45755424,49.28729606,6.222357791
188,0.46255374,77.0502613,9.727340147
189,0.46755324,133.6966721,16.87876178
190,0.47255274,156.0555893,19.70150098
191,0.47755224,230.6315399,29.11646761
192,0.48255174,309.4746214,39.07014536
193,0.48755124,418.4479377,52.82766541
194,0.49255074,577.3889743,72.89344455
195,0.49755024,745.1358187,94.07092774
196,0.50254974,933.5170304,117.8534314
197,0.50754924,1078.054001,136.100745
198,0.51254874,1279.104951,161.4827611
199,0.51754824,1348.412436,170.2326014
200,0.52254774,1393.830352,175.9664629
201,0.52754724,1388.398467,175.2807054
202,0.53254674,1292.396452,163.1607691
203,0.53754624,1178.815006,148.8214879
204,0.54254574,1023.528545,129.2170868
205,0.54754524,769.574882,97.15627849
206,0.55254474,626.0764904,79.04008211
207,0.55754424,449.8141472,56.78754541
208,0.56254374,319.805334,40.37436359
209,0.56754324,208.7543389,26.35454348
210,0.57254274,129.0223991,16.28865031
211,0.57754224,93.62107129,11.81934999
212,0.58254174,64.5438349,8.14844526
213,0.58754124,30.82256757,3.89124701
214,0.59254074,30.01762983,3.789626288
215,0.59754024,26.34152567,3.325530321
216,0.60253974,23.42109283,2.956835353
217,0.60753924,32.68476211,4.1263429
218,0.61253874,23.9454645,3.023035539
219,0.61753824,23.9463639,3.023149085
220,0.62253774,19.56597114,2.470139016
221,0.62753724,24.01857616,3.032265643
222,0.63253674,34.50816504,4.356541477
223,0.63753624,41.95914306,5.29720276
224,0.64253574,44.45781085,5.612651287
225,0.64753524,54.63379538,6.897335612
226,0.65253474,71.80815282,9.065541324
227,0.65753424,65.27680926,8.240980844
228,0.66253374,93.9515577,11.86107281
229,0.66753324,93.79385361,11.84116319
230,0.67253274,105.047692,13.26192299
231,0.67753224,104.1776053,13.15207743
232,0.68253174,95.08351385,12.00397852
233,0.68753124,84.38377963,10.65317253
234,0.69253074,72.14607031,9.108202286
235,0.69753024,76.53784854,9.662649733
236,0.70252974,60.70985434,7.664417919
237,0.70752924,56.10676857,7.083293596
238,0.71252874,49.16885184,6.2074046
239,0.71752824,51.93606713,6.556756361
240,0.72252774,36.13545932,4.561981987
241,0.72752724,36.05031843,4.551233232
242,0.73252674,35.012763,4.420245297
243,0.73752624,29.50582498,3.725012623
244,0.74252574,30.21773451,3.814888841
245,0.74752524,22.521488,2.843263225
246,0.75252474,21.81387813,2.753929823
247,0.75752424,23.28126331,2.939182339
248,0.76252374,28.56187669,3.605842279
249,0.76752324,34.30493248,4.33088404
250,0.77252274,29.18615502,3.684655349
251,0.77752224,29.51172983,3.72575809
252,0.78252174,32.65339828,4.12238332
253,0.78752124,28.72850971,3.626879145
254,0.79252074,31.12454611,3.929370801
255,0.79752024,31.97635515,4.036908869
256,0.80251974,37.80952377,4.773327077
257,0.80751924,36.57619782,4.617623763
258,0.81251874,27.10229545,3.421574985
